,smiles,value,doi,log_value
0,CC(C)[C@@H]1COC[C@H](C2(OC(=O)N3CCNCC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,0.00030000000000000003,10.1021/acs.jmedchem.5b00963,-3.5228787452803374
1,Cc1cc(N2CCC(O)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.0004,10.1021/jm401430e,-3.3979400086720375
2,O=C(NC1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1)c1cccnc1,0.0004,,-3.3979400086720375
3,COC(=O)NC1CCN(c2cc(C)c3nc(-c4c(NC[C@@H](O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)CC1,0.0005,10.1016/j.bmc.2015.03.038,-3.3010299956639813
4,Cc1cc(N2CCC(N3C[C@@H]4C[C@@H]3CO4)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.0005,10.1021/acs.jmedchem.5b00132,-3.3010299956639813
5,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.0005,10.1021/ml500144h,-3.3010299956639813
6,CC(C)[C@@H]1COC[C@H](C2(OC(=O)N3CC4CCC(C3)N4)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,0.0005,10.1021/acs.jmedchem.5b01073,-3.3010299956639813
7,CC1([C@@H]2COC[C@H](COC(=O)N3CCN(C(C)(C)CO)CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1,0.0005,10.1016/j.ejmech.2015.10.008,-3.3010299956639813
8,Cc1cc(N2CCC(NC(=O)C3CC3)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.0007000000000000001,10.1016/j.bmcl.2015.01.062,-3.154901959985743
9,Cc1cc(N2CCC3(CC2)OCCO3)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.0007000000000000001,10.1016/j.bmcl.2015.01.050,-3.154901959985743
